"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1697","Navigation from login page to  registration page","LMS system","Mon Apr 06 17:07:01 UTC 2026","passed","Mon Apr 06 17:07:02 UTC 2026","Authorization","Authentification","",""
"","1802","User login with wrong email or password","LMS system","Mon Apr 06 17:06:42 UTC 2026","passed","Mon Apr 06 17:06:44 UTC 2026","Authorization","Authentification","",""
"","1552","User login with wrong email or password","LMS system","Mon Apr 06 17:06:44 UTC 2026","passed","Mon Apr 06 17:06:45 UTC 2026","Authorization","Authentification","",""
"","3110","Create course","LMS system","Mon Apr 06 17:07:05 UTC 2026","passed","Mon Apr 06 17:07:08 UTC 2026","Courses","Courses","",""
"","1475","Check displaying of empty course list","LMS system","Mon Apr 06 17:07:03 UTC 2026","passed","Mon Apr 06 17:07:05 UTC 2026","Courses","Courses","",""
"","2344","Registration with correct email, username and password","LMS system","Mon Apr 06 17:06:59 UTC 2026","passed","Mon Apr 06 17:07:01 UTC 2026","Registration","Authentification","",""
"","2045","Check displaying of dashboard page","LMS system","Mon Apr 06 17:07:14 UTC 2026","passed","Mon Apr 06 17:07:16 UTC 2026","Dashboard","Dashboard","",""
"","3048","User login with correct email and password","LMS system","Mon Apr 06 17:06:39 UTC 2026","passed","Mon Apr 06 17:06:42 UTC 2026","Authorization","Authentification","",""
"","2351","User login with wrong email or password","LMS system","Mon Apr 06 17:06:46 UTC 2026","passed","Mon Apr 06 17:06:48 UTC 2026","Authorization","Authentification","",""
"","1836","Check displaying of dashboard page","LMS system","Mon Apr 06 17:07:17 UTC 2026","passed","Mon Apr 06 17:07:19 UTC 2026","Dashboard","Dashboard","",""
"","1657","Navigation from login page to  registration page","LMS system","Mon Apr 06 17:06:54 UTC 2026","passed","Mon Apr 06 17:06:55 UTC 2026","Authorization","Authentification","",""
"","1583","User login with wrong email or password","LMS system","Mon Apr 06 17:06:58 UTC 2026","passed","Mon Apr 06 17:07:00 UTC 2026","Authorization","Authentification","",""
"","11946","User login with correct email and password","LMS system","Mon Apr 06 17:06:45 UTC 2026","passed","Mon Apr 06 17:06:57 UTC 2026","Authorization","Authentification","",""
"","3187","Create course","LMS system","Mon Apr 06 17:07:06 UTC 2026","passed","Mon Apr 06 17:07:10 UTC 2026","Courses","Courses","",""
"","2277","Registration with correct email, username and password","LMS system","Mon Apr 06 17:06:56 UTC 2026","passed","Mon Apr 06 17:06:58 UTC 2026","Registration","Authentification","",""
"","2687","User login with wrong email or password","LMS system","Mon Apr 06 17:06:50 UTC 2026","passed","Mon Apr 06 17:06:52 UTC 2026","Authorization","Authentification","",""
"","3796","Edit course","LMS system","Mon Apr 06 17:07:09 UTC 2026","passed","Mon Apr 06 17:07:13 UTC 2026","Courses","Courses","",""
"","1953","User login with wrong email or password","LMS system","Mon Apr 06 17:06:39 UTC 2026","passed","Mon Apr 06 17:06:41 UTC 2026","Authorization","Authentification","",""
"","5683","Edit course","LMS system","Mon Apr 06 17:07:11 UTC 2026","passed","Mon Apr 06 17:07:16 UTC 2026","Courses","Courses","",""
"","1366","Check displaying of empty course list","LMS system","Mon Apr 06 17:07:04 UTC 2026","passed","Mon Apr 06 17:07:06 UTC 2026","Courses","Courses","",""
