"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1713","Navigation from login page to  registration page","LMS system","Mon Apr 20 05:13:30 UTC 2026","passed","Mon Apr 20 05:13:31 UTC 2026","Authorization","Authentification","",""
"","2063","User login with wrong email or password","LMS system","Mon Apr 20 05:13:23 UTC 2026","passed","Mon Apr 20 05:13:25 UTC 2026","Authorization","Authentification","",""
"","3764","Edit course","LMS system","Mon Apr 20 05:13:45 UTC 2026","passed","Mon Apr 20 05:13:49 UTC 2026","Courses","Courses","",""
"","2220","User login with wrong email or password","LMS system","Mon Apr 20 05:13:16 UTC 2026","passed","Mon Apr 20 05:13:19 UTC 2026","Authorization","Authentification","",""
"","3004","Create course","LMS system","Mon Apr 20 05:13:42 UTC 2026","passed","Mon Apr 20 05:13:45 UTC 2026","Courses","Courses","",""
"","1690","User login with wrong email or password","LMS system","Mon Apr 20 05:13:19 UTC 2026","passed","Mon Apr 20 05:13:21 UTC 2026","Authorization","Authentification","",""
"","1444","User login with wrong email or password","LMS system","Mon Apr 20 05:13:21 UTC 2026","passed","Mon Apr 20 05:13:22 UTC 2026","Authorization","Authentification","",""
"","1676","Check displaying of empty course list","LMS system","Mon Apr 20 05:13:39 UTC 2026","passed","Mon Apr 20 05:13:41 UTC 2026","Courses","Courses","",""
"","3639","User login with correct email and password","LMS system","Mon Apr 20 05:13:16 UTC 2026","passed","Mon Apr 20 05:13:20 UTC 2026","Authorization","Authentification","",""
"","2363","Check displaying of dashboard page","LMS system","Mon Apr 20 05:13:49 UTC 2026","passed","Mon Apr 20 05:13:52 UTC 2026","Dashboard","Dashboard","",""
"","5666","Edit course","LMS system","Mon Apr 20 05:13:46 UTC 2026","passed","Mon Apr 20 05:13:52 UTC 2026","Courses","Courses","",""
"","2225","Registration with correct email, username and password","LMS system","Mon Apr 20 05:13:34 UTC 2026","passed","Mon Apr 20 05:13:37 UTC 2026","Registration","Authentification","",""
"","1605","User login with wrong email or password","LMS system","Mon Apr 20 05:13:34 UTC 2026","passed","Mon Apr 20 05:13:36 UTC 2026","Authorization","Authentification","",""
"","2269","Registration with correct email, username and password","LMS system","Mon Apr 20 05:13:32 UTC 2026","passed","Mon Apr 20 05:13:34 UTC 2026","Registration","Authentification","",""
"","1270","Check displaying of empty course list","LMS system","Mon Apr 20 05:13:40 UTC 2026","passed","Mon Apr 20 05:13:41 UTC 2026","Courses","Courses","",""
"","3083","Create course","LMS system","Mon Apr 20 05:13:41 UTC 2026","passed","Mon Apr 20 05:13:44 UTC 2026","Courses","Courses","",""
"","1873","Check displaying of dashboard page","LMS system","Mon Apr 20 05:13:53 UTC 2026","passed","Mon Apr 20 05:13:54 UTC 2026","Dashboard","Dashboard","",""
"","10156","User login with correct email and password","LMS system","Mon Apr 20 05:13:23 UTC 2026","passed","Mon Apr 20 05:13:33 UTC 2026","Authorization","Authentification","",""
"","1650","Navigation from login page to  registration page","LMS system","Mon Apr 20 05:13:36 UTC 2026","passed","Mon Apr 20 05:13:38 UTC 2026","Authorization","Authentification","",""
"","2303","User login with wrong email or password","LMS system","Mon Apr 20 05:13:26 UTC 2026","passed","Mon Apr 20 05:13:28 UTC 2026","Authorization","Authentification","",""
