"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1799","Navigation from login page to  registration page","LMS system","Mon Apr 06 17:25:48 UTC 2026","passed","Mon Apr 06 17:25:50 UTC 2026","Authorization","Authentification","",""
"","5506","Edit course","LMS system","Mon Apr 06 17:26:05 UTC 2026","passed","Mon Apr 06 17:26:11 UTC 2026","Courses","Courses","",""
"","2198","Registration with correct email, username and password","LMS system","Mon Apr 06 17:25:51 UTC 2026","passed","Mon Apr 06 17:25:53 UTC 2026","Registration","Authentification","",""
"","1455","Check displaying of empty course list","LMS system","Mon Apr 06 17:25:58 UTC 2026","passed","Mon Apr 06 17:25:59 UTC 2026","Courses","Courses","",""
"","2124","Registration with correct email, username and password","LMS system","Mon Apr 06 17:25:53 UTC 2026","passed","Mon Apr 06 17:25:55 UTC 2026","Registration","Authentification","",""
"","3283","Create course","LMS system","Mon Apr 06 17:26:01 UTC 2026","passed","Mon Apr 06 17:26:04 UTC 2026","Courses","Courses","",""
"","3229","User login with correct email and password","LMS system","Mon Apr 06 17:25:36 UTC 2026","passed","Mon Apr 06 17:25:39 UTC 2026","Authorization","Authentification","",""
"","1858","Check displaying of dashboard page","LMS system","Mon Apr 06 17:26:11 UTC 2026","passed","Mon Apr 06 17:26:13 UTC 2026","Dashboard","Dashboard","",""
"","1764","Navigation from login page to  registration page","LMS system","Mon Apr 06 17:25:55 UTC 2026","passed","Mon Apr 06 17:25:57 UTC 2026","Authorization","Authentification","",""
"","3054","Create course","LMS system","Mon Apr 06 17:25:59 UTC 2026","passed","Mon Apr 06 17:26:02 UTC 2026","Courses","Courses","",""
"","2232","User login with wrong email or password","LMS system","Mon Apr 06 17:25:45 UTC 2026","passed","Mon Apr 06 17:25:47 UTC 2026","Authorization","Authentification","",""
"","2073","Check displaying of dashboard page","LMS system","Mon Apr 06 17:26:08 UTC 2026","passed","Mon Apr 06 17:26:10 UTC 2026","Dashboard","Dashboard","",""
"","3586","Edit course","LMS system","Mon Apr 06 17:26:03 UTC 2026","passed","Mon Apr 06 17:26:07 UTC 2026","Courses","Courses","",""
"","1444","User login with wrong email or password","LMS system","Mon Apr 06 17:25:40 UTC 2026","passed","Mon Apr 06 17:25:42 UTC 2026","Authorization","Authentification","",""
"","1856","User login with wrong email or password","LMS system","Mon Apr 06 17:25:42 UTC 2026","passed","Mon Apr 06 17:25:44 UTC 2026","Authorization","Authentification","",""
"","1772","User login with wrong email or password","LMS system","Mon Apr 06 17:25:39 UTC 2026","passed","Mon Apr 06 17:25:40 UTC 2026","Authorization","Authentification","",""
"","1539","User login with wrong email or password","LMS system","Mon Apr 06 17:25:53 UTC 2026","passed","Mon Apr 06 17:25:54 UTC 2026","Authorization","Authentification","",""
"","9691","User login with correct email and password","LMS system","Mon Apr 06 17:25:42 UTC 2026","passed","Mon Apr 06 17:25:52 UTC 2026","Authorization","Authentification","",""
"","1419","Check displaying of empty course list","LMS system","Mon Apr 06 17:25:59 UTC 2026","passed","Mon Apr 06 17:26:00 UTC 2026","Courses","Courses","",""
"","1949","User login with wrong email or password","LMS system","Mon Apr 06 17:25:36 UTC 2026","passed","Mon Apr 06 17:25:38 UTC 2026","Authorization","Authentification","",""
