"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2116","User login with wrong email or password","LMS system","Mon May 18 07:15:18 UTC 2026","passed","Mon May 18 07:15:20 UTC 2026","Authorization","Authentification","",""
"","3087","Create course","LMS system","Mon May 18 07:15:42 UTC 2026","passed","Mon May 18 07:15:45 UTC 2026","Courses","Courses","",""
"","3002","Create course","LMS system","Mon May 18 07:15:41 UTC 2026","passed","Mon May 18 07:15:44 UTC 2026","Courses","Courses","",""
"","9508","User login with correct email and password","LMS system","Mon May 18 07:15:24 UTC 2026","passed","Mon May 18 07:15:33 UTC 2026","Authorization","Authentification","",""
"","2288","User login with wrong email or password","LMS system","Mon May 18 07:15:24 UTC 2026","passed","Mon May 18 07:15:26 UTC 2026","Authorization","Authentification","",""
"","1342","Check displaying of empty course list","LMS system","Mon May 18 07:15:40 UTC 2026","passed","Mon May 18 07:15:41 UTC 2026","Courses","Courses","",""
"","1883","User login with wrong email or password","LMS system","Mon May 18 07:15:15 UTC 2026","passed","Mon May 18 07:15:17 UTC 2026","Authorization","Authentification","",""
"","2183","Registration with correct email, username and password","LMS system","Mon May 18 07:15:35 UTC 2026","passed","Mon May 18 07:15:38 UTC 2026","Registration","Authentification","",""
"","1419","User login with wrong email or password","LMS system","Mon May 18 07:15:20 UTC 2026","passed","Mon May 18 07:15:22 UTC 2026","Authorization","Authentification","",""
"","5969","Edit course","LMS system","Mon May 18 07:15:46 UTC 2026","passed","Mon May 18 07:15:52 UTC 2026","Courses","Courses","",""
"","1705","Check displaying of empty course list","LMS system","Mon May 18 07:15:40 UTC 2026","passed","Mon May 18 07:15:42 UTC 2026","Courses","Courses","",""
"","1662","Navigation from login page to  registration page","LMS system","Mon May 18 07:15:36 UTC 2026","passed","Mon May 18 07:15:38 UTC 2026","Authorization","Authentification","",""
"","1705","User login with wrong email or password","LMS system","Mon May 18 07:15:34 UTC 2026","passed","Mon May 18 07:15:36 UTC 2026","Authorization","Authentification","",""
"","2333","Check displaying of dashboard page","LMS system","Mon May 18 07:15:50 UTC 2026","passed","Mon May 18 07:15:53 UTC 2026","Dashboard","Dashboard","",""
"","1950","Check displaying of dashboard page","LMS system","Mon May 18 07:15:53 UTC 2026","passed","Mon May 18 07:15:55 UTC 2026","Dashboard","Dashboard","",""
"","2307","User login with wrong email or password","LMS system","Mon May 18 07:15:27 UTC 2026","passed","Mon May 18 07:15:30 UTC 2026","Authorization","Authentification","",""
"","3961","User login with correct email and password","LMS system","Mon May 18 07:15:15 UTC 2026","passed","Mon May 18 07:15:19 UTC 2026","Authorization","Authentification","",""
"","3874","Edit course","LMS system","Mon May 18 07:15:45 UTC 2026","passed","Mon May 18 07:15:49 UTC 2026","Courses","Courses","",""
"","1700","Navigation from login page to  registration page","LMS system","Mon May 18 07:15:31 UTC 2026","passed","Mon May 18 07:15:32 UTC 2026","Authorization","Authentification","",""
"","2385","Registration with correct email, username and password","LMS system","Mon May 18 07:15:33 UTC 2026","passed","Mon May 18 07:15:35 UTC 2026","Registration","Authentification","",""
